ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
3,-83.1250,8.3750,1.8333,0.6909,-0.7822,0.7333,-2.6156,0.5136,1.3146,0.0783,-0.3221,0.5321
5,-83.6250,8.6250,1.5756,0.4955,-2.5222,0.3066,-4.0978,0.3343,0.7850,0.2330,-0.4509,0.3343
7,-83.1250,8.6250,1.9089,0.5701,-2.1289,0.3343,-4.0378,0.1728,1.2474,0.1118,-0.4457,0.4603
9,-83.3750,8.8750,1.5445,0.6496,-1.7067,0.5321,-3.2511,0.4265,0.8772,0.1914,-0.5702,0.3635
10,-83.1250,8.8750,2.0622,0.4265,-1.9711,0.4603,-4.0333,0.2330,0.9927,0.2115,-0.5227,0.3942
12,-83.6250,9.1250,-0.0089,0.8647,-2.1022,0.3343,-2.0933,0.6092,0.7034,0.3066,-0.8075,0.1914
13,-83.3750,9.1250,0.2578,0.7764,-2.1111,0.3486,-2.3689,0.7764,0.8212,0.3066,-0.8158,0.1728
14,-83.1250,9.1250,0.8089,0.7764,-1.8555,0.4955,-2.6644,0.7764,0.8997,0.2115,-0.7724,0.2560
16,-84.1250,9.3750,0.1378,0.6909,-1.0756,0.5701,-1.2133,0.8203,-0.0357,0.8203,-0.9211,0.1914
17,-83.8750,9.3750,-0.4000,0.9547,-1.3378,0.7333,-0.9378,0.8647,0.5966,0.4603,-1.0204,0.1914
18,-83.6250,9.3750,-0.7333,0.9096,-0.9822,0.6909,-0.2489,1.0000,0.7278,0.3343,-1.0031,0.2115
19,-83.3750,9.3750,-0.6089,1.0000,-1.9200,0.3635,-1.3111,0.8647,0.6877,0.3635,-0.8316,0.1914
20,-83.1250,9.3750,-0.3978,0.8647,-1.0867,0.8203,-0.6889,1.0000,0.7564,0.3635,-0.7560,0.2805
21,-85.1250,9.6250,-0.5022,0.9096,-1.0867,0.5701,-0.5844,0.8203,-0.2278,0.6496,-0.7552,0.2115
23,-84.6250,9.6250,-0.1244,0.9547,-0.3755,0.7764,-0.2511,0.9547,-0.2361,0.5701,-0.9323,0.1728
24,-84.3750,9.6250,-0.2622,0.7764,-0.2644,0.8261,-0.0022,1.0000,-0.1593,0.5701,-0.9992,0.1252
25,-84.1250,9.6250,-0.7111,0.7764,-0.4822,0.8647,0.2289,1.0000,-0.0729,0.6909,-1.1022,0.1252
26,-83.8750,9.6250,-0.7911,0.8203,-1.5822,0.5701,-0.7911,0.9096,0.5366,0.6092,-1.2133,0.2115
27,-83.6250,9.6250,-0.6044,0.9547,-2.3155,0.5701,-1.7111,0.7333,0.5738,0.3942,-0.9999,0.2560
28,-83.3750,9.6250,-2.3178,0.4603,-1.3845,0.7333,0.9333,0.7764,0.6967,0.2560,-0.8259,0.2805
29,-83.1250,9.6250,-2.0489,0.6092,-0.4844,0.6909,1.5644,0.8203,0.7832,0.1914,-0.6809,0.3066
31,-85.3750,9.8750,-1.5022,0.5321,-0.3155,1.0000,1.1867,0.5701,-0.3552,0.5701,-0.8105,0.1556
32,-85.1250,9.8750,-1.0511,0.6909,-0.7022,0.6909,0.3489,0.6909,-0.3490,0.4955,-0.9220,0.1398
34,-84.6250,9.8750,-1.2111,0.6092,0.0467,0.6909,1.2578,0.6092,-0.2101,0.5321,-1.2428,0.1398
35,-84.3750,9.8750,-1.1378,0.7764,-0.6333,0.6092,0.5044,0.6909,-0.1565,0.5321,-1.1970,0.1728
36,-84.1250,9.8750,-1.9689,0.5701,-1.3622,0.2805,0.6067,0.8647,-0.1120,0.6496,-1.1682,0.1914
37,-83.8750,9.8750,-1.5467,0.7764,-0.9422,0.6909,0.6044,0.8203,0.4522,0.4955,-1.2007,0.2330
38,-83.6250,9.8750,-2.0733,0.4955,-0.3111,0.8647,1.7622,0.8203,0.7284,0.3066,-1.1713,0.2805
39,-83.3750,9.8750,-3.7044,0.2560,1.1800,0.6909,4.8845,0.4265,0.9096,0.1398,-0.9921,0.3066
40,-83.1250,9.8750,-3.7511,0.4265,1.7867,0.9547,5.5378,0.5321,0.8271,0.1398,-0.7249,0.4603
42,-85.6250,10.1250,-1.1000,0.6909,0.4578,0.8203,1.5577,0.4955,-0.4163,0.5701,-0.6413,0.1914
43,-85.3750,10.1250,-1.0311,0.6496,0.3111,0.9096,1.3422,0.6909,-0.4072,0.5321,-0.7221,0.1398
45,-84.8750,10.1250,-0.8000,0.6496,0.0689,0.9750,0.8689,0.6496,-0.2335,0.7764,-1.0593,0.1728
46,-84.6250,10.1250,-1.2756,0.4955,0.4578,0.6909,1.7333,0.5321,-0.1399,0.7764,-1.2555,0.1914
47,-84.3750,10.1250,-1.1311,0.8203,0.9244,0.4955,2.0556,0.6092,-0.0673,0.9096,-1.3342,0.2115
48,-84.1250,10.1250,-1.1756,1.0000,3.0533,0.3343,4.2289,0.4955,0.0737,0.9096,-1.3956,0.2560
49,-83.8750,10.1250,-5.0244,0.2115,4.6511,0.2115,9.6756,0.1252,0.7490,0.1118,-1.7900,0.1914
50,-83.6250,10.1250,-5.9156,0.0691,5.3156,0.2115,11.2311,0.0468,0.9682,0.0884,-1.7489,0.2115
51,-83.3750,10.1250,-6.6044,0.0884,4.6645,0.2560,11.2689,0.0535,1.1129,0.0691,-1.5711,0.2330
54,-85.6250,10.3750,-1.7556,0.3066,0.7378,0.5321,2.4933,0.3343,-0.4662,0.4603,-0.7160,0.1556
55,-85.3750,10.3750,-2.1422,0.3343,0.5867,0.7333,2.7289,0.3066,-0.4993,0.4265,-0.7663,0.1118
56,-85.1250,10.3750,-1.8756,0.4265,0.4311,0.5701,2.3067,0.4265,-0.4222,0.5321,-1.0203,0.0995
57,-84.8750,10.3750,-2.0755,0.4603,-0.2044,0.9096,1.8711,0.5701,-0.1832,0.7764,-1.2759,0.1728
58,-84.6250,10.3750,-1.3756,0.4955,1.3400,0.5936,2.7156,0.3942,-0.1426,0.9547,-1.4595,0.2115
59,-84.3750,10.3750,-1.5089,0.6909,3.0022,0.3635,4.5111,0.3066,0.0091,1.0000,-1.6807,0.2115
60,-84.1250,10.3750,-2.9244,0.4603,4.7467,0.1556,7.6711,0.2330,0.2842,0.7333,-1.9198,0.3066
61,-83.8750,10.3750,-7.6800,0.0268,5.5067,0.1118,13.1867,0.0309,1.1689,0.0409,-2.4957,0.1728
62,-83.6250,10.3750,-8.8000,0.0309,5.8733,0.1252,14.6733,0.0268,1.4736,0.0409,-2.5142,0.1556
65,-85.6250,10.6250,-1.9067,0.2805,1.4333,0.3635,3.3400,0.2115,-0.4101,0.3942,-0.7961,0.1252
66,-85.3750,10.6250,-2.2711,0.1728,0.4378,0.9096,2.7089,0.3635,-0.4521,0.4265,-0.9283,0.1398
67,-85.1250,10.6250,-1.3244,0.4326,0.0978,0.8647,1.4222,0.6092,-0.4341,0.5701,-1.1492,0.1728
68,-84.8750,10.6250,-1.5222,0.4603,3.5822,0.2330,5.1044,0.3635,0.0643,0.8647,-1.6684,0.1556
69,-84.6250,10.6250,-2.4422,0.2115,4.6222,0.1556,7.0644,0.1556,0.1842,0.7764,-2.0167,0.1914
70,-84.3750,10.6250,-2.6422,0.2560,5.9733,0.1398,8.6156,0.0884,0.3970,0.5701,-2.3054,0.1556
71,-84.1250,10.6250,-4.1467,0.0649,8.3667,0.0535,12.5133,0.0309,0.8067,0.2330,-2.7483,0.1728
72,-83.8750,10.6250,-8.0711,0.0287,5.5422,0.1118,13.6133,0.0356,1.3978,0.0356,-3.0823,0.1118
73,-83.6250,10.6250,-8.6533,0.0356,6.9356,0.0609,15.5889,0.0231,1.6043,0.0468,-2.9884,0.0995
76,-85.6250,10.8750,-2.9578,0.1398,1.9644,0.3343,4.9222,0.1118,-0.2996,0.4603,-0.9926,0.0995
77,-85.3750,10.8750,-1.7311,0.4776,1.4600,0.5509,3.1911,0.3942,-0.4229,0.3066,-1.0642,0.1398
78,-85.1250,10.8750,-2.5467,0.1398,0.3667,0.6496,2.9133,0.2805,-0.2739,0.4955,-1.4107,0.1556
79,-84.8750,10.8750,-1.9311,0.2805,3.7622,0.3343,5.6933,0.1728,0.0605,0.8203,-1.8303,0.1728
