ID,Lon,Lat,ann_avg,p-ann_avg
3,-83.1250,8.3750,0.1358,0.7764
5,-83.6250,8.6250,0.0665,0.7764
7,-83.1250,8.6250,0.1054,0.9547
9,-83.3750,8.8750,0.0341,0.8203
10,-83.1250,8.8750,0.0519,0.8647
12,-83.6250,9.1250,-0.0634,0.4603
13,-83.3750,9.1250,-0.0324,0.5321
14,-83.1250,9.1250,-0.0105,0.7764
16,-84.1250,9.3750,-0.1254,0.3942
17,-83.8750,9.3750,-0.0999,0.4603
18,-83.6250,9.3750,-0.0779,0.4603
19,-83.3750,9.3750,-0.0536,0.6496
20,-83.1250,9.3750,-0.0302,0.7764
21,-85.1250,9.6250,-0.1728,0.3343
23,-84.6250,9.6250,-0.1929,0.2330
24,-84.3750,9.6250,-0.1840,0.2560
25,-84.1250,9.6250,-0.1568,0.3635
26,-83.8750,9.6250,-0.1142,0.4955
27,-83.6250,9.6250,-0.0818,0.6909
28,-83.3750,9.6250,-0.0599,0.8203
29,-83.1250,9.6250,-0.0322,0.6909
31,-85.3750,9.8750,-0.2085,0.3343
32,-85.1250,9.8750,-0.2319,0.2805
34,-84.6250,9.8750,-0.2471,0.2560
35,-84.3750,9.8750,-0.2229,0.2330
36,-84.1250,9.8750,-0.1868,0.3343
37,-83.8750,9.8750,-0.1547,0.4603
38,-83.6250,9.8750,-0.1168,0.7333
39,-83.3750,9.8750,-0.0833,0.9547
40,-83.1250,9.8750,-0.0558,0.7333
42,-85.6250,10.1250,-0.2094,0.3343
43,-85.3750,10.1250,-0.2146,0.2805
45,-84.8750,10.1250,-0.2793,0.3343
46,-84.6250,10.1250,-0.2904,0.2805
47,-84.3750,10.1250,-0.2826,0.3066
48,-84.1250,10.1250,-0.2440,0.3635
49,-83.8750,10.1250,-0.1637,0.5701
50,-83.6250,10.1250,-0.1006,0.9547
51,-83.3750,10.1250,-0.0563,0.8647
54,-85.6250,10.3750,-0.2303,0.3066
55,-85.3750,10.3750,-0.2384,0.2805
56,-85.1250,10.3750,-0.2766,0.3066
57,-84.8750,10.3750,-0.3363,0.3066
58,-84.6250,10.3750,-0.3653,0.2560
59,-84.3750,10.3750,-0.3767,0.2115
60,-84.1250,10.3750,-0.3484,0.2805
61,-83.8750,10.3750,-0.2636,0.4603
62,-83.6250,10.3750,-0.1961,0.7333
65,-85.6250,10.6250,-0.2473,0.2805
66,-85.3750,10.6250,-0.2780,0.3066
67,-85.1250,10.6250,-0.3280,0.2805
68,-84.8750,10.6250,-0.3873,0.2805
69,-84.6250,10.6250,-0.4161,0.2330
70,-84.3750,10.6250,-0.4271,0.1728
71,-84.1250,10.6250,-0.4240,0.2115
72,-83.8750,10.6250,-0.3848,0.2560
73,-83.6250,10.6250,-0.3248,0.4265
76,-85.6250,10.8750,-0.2685,0.2805
77,-85.3750,10.8750,-0.3074,0.2560
78,-85.1250,10.8750,-0.3608,0.2330
79,-84.8750,10.8750,-0.4217,0.2115
80,-84.6250,10.8750,-0.4583,0.1728
81,-84.3750,10.8750,-0.4870,0.1914
82,-84.1250,10.8750,-0.4908,0.1728
83,-83.8750,10.8750,-0.4477,0.2115
84,-83.6250,10.8750,-0.3943,0.2330
86,-85.6250,11.1250,-0.2855,0.2115
87,-85.3750,11.1250,-0.3080,0.2560
88,-85.1250,11.1250,-0.3544,0.1914
89,-84.8750,11.1250,-0.4130,0.1398
90,-84.6250,11.1250,-0.4698,0.1556
91,-84.3750,11.1250,-0.5452,0.1556
95,-85.8750,11.3750,-0.2869,0.1398
96,-85.6250,11.3750,-0.2982,0.1728
97,-85.3750,11.3750,-0.3139,0.1728
98,-85.1250,11.3750,-0.3611,0.1556
99,-84.8750,11.3750,-0.4337,0.1398
100,-84.6250,11.3750,-0.5060,0.1398
105,-86.1250,11.6250,-0.2629,0.0995
106,-85.8750,11.6250,-0.2900,0.0884
107,-85.6250,11.6250,-0.3074,0.0995
108,-85.3750,11.6250,-0.3229,0.0995
109,-85.1250,11.6250,-0.3894,0.1118
110,-84.8750,11.6250,-0.5089,0.1118
111,-84.6250,11.6250,-0.5919,0.0783
117,-86.3750,11.8750,-0.2388,0.1252
118,-86.1250,11.8750,-0.2610,0.1252
119,-85.8750,11.8750,-0.2973,0.0884
120,-85.6250,11.8750,-0.3252,0.0884
121,-85.3750,11.8750,-0.3490,0.0884
122,-85.1250,11.8750,-0.4258,0.0783
123,-84.8750,11.8750,-0.5612,0.0691
130,-86.6250,12.1250,-0.2269,0.1252
131,-86.3750,12.1250,-0.2343,0.1252
132,-86.1250,12.1250,-0.2593,0.1398
133,-85.8750,12.1250,-0.3060,0.1118
134,-85.6250,12.1250,-0.3554,0.0884
135,-85.3750,12.1250,-0.4145,0.0691
136,-85.1250,12.1250,-0.4925,0.0783
137,-84.8750,12.1250,-0.5686,0.0691
145,-86.8750,12.3750,-0.2448,0.1118
146,-86.6250,12.3750,-0.2420,0.1252
147,-86.3750,12.3750,-0.2443,0.1118
148,-86.1250,12.3750,-0.2637,0.0995
149,-85.8750,12.3750,-0.3071,0.0884
150,-85.6250,12.3750,-0.3596,0.0691
151,-85.3750,12.3750,-0.4285,0.0609
152,-85.1250,12.3750,-0.4977,0.0409
153,-84.8750,12.3750,-0.5511,0.0468
161,-87.1250,12.6250,-0.2997,0.0884
162,-86.8750,12.6250,-0.2786,0.0783
163,-86.6250,12.6250,-0.2606,0.0884
164,-86.3750,12.6250,-0.2488,0.0691
165,-86.1250,12.6250,-0.2569,0.0691
166,-85.8750,12.6250,-0.2922,0.0609
167,-85.6250,12.6250,-0.3345,0.0468
168,-85.3750,12.6250,-0.3865,0.0409
169,-85.1250,12.6250,-0.4467,0.0356
176,-87.6250,12.8750,-0.2884,0.0884
177,-87.3750,12.8750,-0.3193,0.0995
178,-87.1250,12.8750,-0.3252,0.0782
179,-86.8750,12.8750,-0.2978,0.0609
180,-86.6250,12.8750,-0.2767,0.0783
181,-86.3750,12.8750,-0.2674,0.0783
182,-86.1250,12.8750,-0.2774,0.0691
183,-85.8750,12.8750,-0.3171,0.0468
184,-85.6250,12.8750,-0.3534,0.0356
185,-85.3750,12.8750,-0.3885,0.0468
186,-85.1250,12.8750,-0.4323,0.0409
199,-87.3750,13.1250,-0.3205,0.0691
200,-87.1250,13.1250,-0.3201,0.0609
201,-86.8750,13.1250,-0.2907,0.0535
202,-86.6250,13.1250,-0.2816,0.0691
203,-86.3750,13.1250,-0.2944,0.0691
204,-86.1250,13.1250,-0.3217,0.0609
205,-85.8750,13.1250,-0.3652,0.0356
206,-85.6250,13.1250,-0.4000,0.0356
207,-85.3750,13.1250,-0.4214,0.0535
208,-85.1250,13.1250,-0.4446,0.0535
209,-84.8750,13.1250,-0.4604,0.0468
218,-88.8750,13.3750,-0.2819,0.1252
219,-88.6250,13.3750,-0.2844,0.1118
220,-88.3750,13.3750,-0.2815,0.0995
221,-88.1250,13.3750,-0.2812,0.0884
222,-87.8750,13.3750,-0.2873,0.0783
224,-87.3750,13.3750,-0.2930,0.0691
225,-87.1250,13.3750,-0.2895,0.0609
226,-86.8750,13.3750,-0.2707,0.0691
227,-86.6250,13.3750,-0.2738,0.0783
228,-86.3750,13.3750,-0.2986,0.0691
229,-86.1250,13.3750,-0.3318,0.0609
230,-85.8750,13.3750,-0.3765,0.0468
231,-85.6250,13.3750,-0.4083,0.0409
241,-89.8750,13.6250,-0.2322,0.1556
242,-89.6250,13.6250,-0.2436,0.1398
243,-89.3750,13.6250,-0.2573,0.1118
244,-89.1250,13.6250,-0.2674,0.1252
245,-88.8750,13.6250,-0.2751,0.1118
246,-88.6250,13.6250,-0.2767,0.0884
247,-88.3750,13.6250,-0.2746,0.0884
248,-88.1250,13.6250,-0.2711,0.0884
249,-87.8750,13.6250,-0.2706,0.0609
250,-87.6250,13.6250,-0.2613,0.0691
251,-87.3750,13.6250,-0.2461,0.0783
252,-87.1250,13.6250,-0.2424,0.0691
253,-86.8750,13.6250,-0.2425,0.0783
254,-86.6250,13.6250,-0.2575,0.0691
255,-86.3750,13.6250,-0.2861,0.0691
256,-86.1250,13.6250,-0.3161,0.0783
257,-85.8750,13.6250,-0.3526,0.0609
258,-85.6250,13.6250,-0.3812,0.0468
271,-90.3750,13.8750,-0.2563,0.1914
272,-90.1250,13.8750,-0.2636,0.1556
273,-89.8750,13.8750,-0.2574,0.1398
274,-89.6250,13.8750,-0.2666,0.1252
275,-89.3750,13.8750,-0.2724,0.1398
276,-89.1250,13.8750,-0.2771,0.0995
277,-88.8750,13.8750,-0.2831,0.0884
278,-88.6250,13.8750,-0.2847,0.0783
279,-88.3750,13.8750,-0.2846,0.0691
280,-88.1250,13.8750,-0.2807,0.0609
281,-87.8750,13.8750,-0.2757,0.0691
282,-87.6250,13.8750,-0.2616,0.0783
283,-87.3750,13.8750,-0.2387,0.0783
284,-87.1250,13.8750,-0.2320,0.0783
285,-86.8750,13.8750,-0.2353,0.0884
286,-86.6250,13.8750,-0.2494,0.0884
287,-86.3750,13.8750,-0.2726,0.0783
288,-86.1250,13.8750,-0.2955,0.0884
289,-85.8750,13.8750,-0.3247,0.0691
290,-85.6250,13.8750,-0.3502,0.0783
291,-85.3750,13.8750,-0.3787,0.0691
292,-85.1250,13.8750,-0.4111,0.0995
301,-91.6250,14.1250,-0.1300,0.4955
302,-91.3750,14.1250,-0.1656,0.4955
303,-91.1250,14.1250,-0.2115,0.4265
304,-90.8750,14.1250,-0.2759,0.2560
305,-90.6250,14.1250,-0.2972,0.1914
306,-90.3750,14.1250,-0.2925,0.1728
307,-90.1250,14.1250,-0.2914,0.1252
308,-89.8750,14.1250,-0.2952,0.1252
309,-89.6250,14.1250,-0.3015,0.0783
310,-89.3750,14.1250,-0.3033,0.0468
311,-89.1250,14.1250,-0.3035,0.0409
312,-88.8750,14.1250,-0.3023,0.0468
313,-88.6250,14.1250,-0.3056,0.0409
314,-88.3750,14.1250,-0.3113,0.0409
315,-88.1250,14.1250,-0.3086,0.0356
316,-87.8750,14.1250,-0.2996,0.0409
318,-87.3750,14.1250,-0.2617,0.0691
319,-87.1250,14.1250,-0.2507,0.0783
320,-86.8750,14.1250,-0.2503,0.0691
321,-86.6250,14.1250,-0.2547,0.0783
322,-86.3750,14.1250,-0.2678,0.0884
323,-86.1250,14.1250,-0.2826,0.0783
324,-85.8750,14.1250,-0.2882,0.0995
325,-85.6250,14.1250,-0.3100,0.0995
326,-85.3750,14.1250,-0.3396,0.1118
327,-85.1250,14.1250,-0.3752,0.1118
328,-84.8750,14.1250,-0.4190,0.1118
337,-91.8750,14.3750,-0.1552,0.5701
338,-91.6250,14.3750,-0.1874,0.4603
339,-91.3750,14.3750,-0.2188,0.3942
340,-91.1250,14.3750,-0.2553,0.3066
341,-90.8750,14.3750,-0.3131,0.2115
342,-90.6250,14.3750,-0.3354,0.1728
343,-90.3750,14.3750,-0.3366,0.1252
344,-90.1250,14.3750,-0.3432,0.0995
345,-89.8750,14.3750,-0.3532,0.0691
346,-89.6250,14.3750,-0.3597,0.0468
347,-89.3750,14.3750,-0.3540,0.0309
348,-89.1250,14.3750,-0.3435,0.0231
349,-88.8750,14.3750,-0.3264,0.0268
350,-88.6250,14.3750,-0.3300,0.0309
351,-88.3750,14.3750,-0.3499,0.0309
352,-88.1250,14.3750,-0.3558,0.0309
353,-87.8750,14.3750,-0.3504,0.0309
355,-87.3750,14.3750,-0.3015,0.0356
356,-87.1250,14.3750,-0.2810,0.0609
357,-86.8750,14.3750,-0.2713,0.0691
364,-85.1250,14.3750,-0.3538,0.1252
374,-92.1250,14.6250,-0.1527,0.4603
375,-91.8750,14.6250,-0.2145,0.3942
376,-91.6250,14.6250,-0.2678,0.3635
377,-91.3750,14.6250,-0.2841,0.2560
378,-91.1250,14.6250,-0.2887,0.1728
379,-90.8750,14.6250,-0.3025,0.1118
380,-90.6250,14.6250,-0.3160,0.0884
381,-90.3750,14.6250,-0.3437,0.0691
382,-90.1250,14.6250,-0.3800,0.0535
383,-89.8750,14.6250,-0.4156,0.0468
384,-89.6250,14.6250,-0.4322,0.0309
385,-89.3750,14.6250,-0.4190,0.0231
386,-89.1250,14.6250,-0.3941,0.0268
387,-88.8750,14.6250,-0.3516,0.0268
388,-88.6250,14.6250,-0.3566,0.0268
389,-88.3750,14.6250,-0.4018,0.0309
390,-88.1250,14.6250,-0.4257,0.0309
394,-87.1250,14.6250,-0.3207,0.0356
395,-86.8750,14.6250,-0.3021,0.0609
413,-92.1250,14.8750,-0.1715,0.4955
414,-91.8750,14.8750,-0.2523,0.3942
415,-91.6250,14.8750,-0.3159,0.2805
416,-91.3750,14.8750,-0.3331,0.1118
417,-91.1250,14.8750,-0.3308,0.0884
418,-90.8750,14.8750,-0.3303,0.0609
419,-90.6250,14.8750,-0.3393,0.0609
420,-90.3750,14.8750,-0.3699,0.0609
421,-90.1250,14.8750,-0.4285,0.0409
422,-89.8750,14.8750,-0.5004,0.0231
423,-89.6250,14.8750,-0.5259,0.0231
424,-89.3750,14.8750,-0.4930,0.0231
425,-89.1250,14.8750,-0.4536,0.0268
426,-88.8750,14.8750,-0.3993,0.0268
427,-88.6250,14.8750,-0.4011,0.0268
433,-87.1250,14.8750,-0.3428,0.0356
454,-91.8750,15.1250,-0.2488,0.2560
