ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
47,-84.3750,10.1250,8.7782,8.8210,7.3716,7.9529,8.4580,8.1235,8.2538,6.4582,9.0364,8.9520,7.8295,10.1273,10.8202,10.0054,9.4381
48,-84.1250,10.1250,10.1125,9.3039,9.0102,9.4883,9.6420,9.5277,9.9750,8.7179,9.7092,10.8398,8.6928,11.5537,11.9940,11.0846,10.7356
49,-83.8750,10.1250,10.2718,9.9297,9.8996,10.6809,10.6853,10.4387,10.6694,9.9546,9.9861,11.3962,9.3292,12.1640,11.8916,10.4061,10.2957
50,-83.6250,10.1250,9.8713,10.0124,10.3429,10.8487,10.9582,10.5146,10.9534,9.8265,10.6687,11.2804,9.2131,11.7006,12.2687,10.5288,10.2326
51,-83.3750,10.1250,9.5660,9.7951,9.2295,10.1005,10.2817,9.9270,9.9243,9.2615,9.7281,10.5061,8.6212,10.6531,10.7188,9.1905,9.1996
54,-85.6250,10.3750,4.0433,4.6351,2.9854,3.5361,4.0467,3.1483,3.8457,2.6724,4.2517,4.0016,4.0312,4.4025,3.5101,4.3032,4.1200
55,-85.3750,10.3750,4.3675,4.8425,3.2130,3.7484,4.2805,3.5805,4.1340,2.7710,4.4677,4.0222,4.2094,4.6765,4.0482,4.4149,4.4294
56,-85.1250,10.3750,5.6954,6.0557,4.6385,4.8799,5.3276,4.8082,5.2363,3.7107,5.7293,5.3519,5.2666,5.8418,5.5431,5.6137,5.9198
57,-84.8750,10.3750,7.5572,7.9313,6.5596,6.7500,7.4744,6.8879,7.1045,5.4529,7.8001,7.2344,7.1075,8.5822,8.6558,8.4674,8.0003
58,-84.6250,10.3750,9.3688,9.3195,8.0052,8.3666,8.9841,8.1084,8.6540,7.0570,9.0130,9.8436,8.7488,10.3390,10.9950,10.6367,10.1941
59,-84.3750,10.3750,10.9636,9.8618,8.8370,9.7291,10.6038,9.2387,9.9115,8.6761,10.2822,11.2158,9.5966,12.6392,13.0702,11.9373,11.4444
60,-84.1250,10.3750,12.8799,11.0665,10.3033,12.3108,12.7140,11.8041,11.2446,9.6634,11.1147,12.4773,10.3321,14.0923,14.4862,12.8670,12.3455
61,-83.8750,10.3750,12.0983,11.9623,11.3826,12.5080,12.5468,11.5492,12.1546,11.6505,11.9642,12.9658,11.1926,13.7229,13.6757,12.2066,11.8064
62,-83.6250,10.3750,12.2633,11.8678,11.2630,12.4879,11.9014,12.1046,12.0609,11.1717,12.1539,13.2261,11.2505,13.6387,13.7645,11.7336,12.1969
65,-85.6250,10.6250,4.3303,4.8938,3.5225,3.7759,4.3168,3.4257,4.1430,2.9196,4.5128,4.2375,4.4867,4.5955,4.1920,4.6975,4.3788
66,-85.3750,10.6250,5.3729,5.7581,4.3245,4.6995,5.1321,4.8050,4.9692,3.4031,5.3309,5.2528,5.2897,5.6777,5.4008,5.4359,5.5042
67,-85.1250,10.6250,7.0545,7.0725,5.8824,6.6904,6.4855,6.7282,6.2501,5.1385,6.8654,6.9133,6.6868,8.2316,7.2895,7.3888,7.3790
68,-84.8750,10.6250,9.8303,8.9694,7.9361,9.1370,9.0690,8.7697,8.5069,7.8483,8.7695,9.3893,8.8767,9.8638,11.4964,10.0982,9.9938
69,-84.6250,10.6250,11.2082,10.4343,9.7304,11.2310,11.0692,10.5709,10.3153,9.2842,11.1501,11.3588,10.2931,13.1105,13.1858,12.1613,11.6531
70,-84.3750,10.6250,12.1667,10.9179,10.3062,12.4767,11.9517,10.4964,11.0398,10.4064,12.1707,12.1257,11.2247,13.7774,13.8683,13.2411,11.9925
71,-84.1250,10.6250,13.5770,12.6014,12.6679,13.8553,14.8770,12.8967,12.8981,12.8194,14.8367,13.3864,12.3860,15.2563,15.6022,14.6589,13.1628
72,-83.8750,10.6250,13.8997,13.6226,13.5744,14.5592,14.0646,13.3100,13.5669,13.4062,13.8692,15.6505,12.8579,15.4206,16.3667,13.6983,13.7446
73,-83.6250,10.6250,13.5368,13.4195,13.6011,14.5732,13.8926,14.1315,13.6760,13.4498,13.8978,15.3362,12.6663,15.3148,16.1234,13.0988,14.0929
76,-85.6250,10.8750,4.7945,5.0423,4.0179,4.2782,4.5600,4.2273,4.5637,3.0736,4.7783,4.8198,4.7440,5.2240,4.5867,4.8282,5.1091
77,-85.3750,10.8750,5.8723,6.0341,4.9628,5.4623,5.6018,5.8495,5.3698,4.0177,5.8948,5.9494,5.7688,6.7876,5.8848,5.9694,6.4864
78,-85.1250,10.8750,7.4986,7.4697,6.8699,7.9849,7.5305,7.3151,7.1714,5.6334,7.1511,7.4428,7.4875,8.8850,8.1195,9.0567,8.2752
79,-84.8750,10.8750,10.1547,9.5222,8.8362,10.2804,10.2018,9.1345,9.5598,8.1448,10.3394,10.4776,9.3815,11.5654,11.9594,11.1640,10.2332
80,-84.6250,10.8750,12.2695,11.3666,10.6154,13.0253,12.3834,11.3179,11.4576,10.5121,13.1639,12.0865,11.6636,13.6184,13.9650,13.6048,12.0371
81,-84.3750,10.8750,13.3111,12.4731,11.5870,14.0513,15.0531,12.0045,12.7459,11.2154,14.4774,13.2397,12.2563,14.5560,15.1535,14.5849,13.3268
82,-84.1250,10.8750,14.3417,13.8454,13.8824,15.2383,15.8731,13.8756,13.5271,13.0972,16.2210,14.4130,12.6483,16.0659,16.8793,15.2447,14.6544
83,-83.8750,10.8750,12.9801,13.1701,13.0482,14.2089,13.9701,13.0018,12.8314,13.5133,13.9016,14.7975,12.6210,15.1484,16.0898,14.0236,13.2085
84,-83.6250,10.8750,12.4760,12.8461,12.5753,13.9365,12.4270,13.4963,12.4927,13.7202,13.8633,14.5286,11.9601,14.8474,15.1586,12.5044,13.0618
