ID,Lon,Lat,ann_avg,p-ann_avg
3,-83.1250,8.3750,0.1704,0.5701
5,-83.6250,8.6250,0.1093,0.6909
7,-83.1250,8.6250,0.1527,0.5321
9,-83.3750,8.8750,0.0863,0.7764
10,-83.1250,8.8750,0.1146,0.6909
12,-83.6250,9.1250,0.0028,0.9547
13,-83.3750,9.1250,0.0504,0.8647
14,-83.1250,9.1250,0.0904,0.6909
16,-84.1250,9.3750,-0.0382,0.9096
17,-83.8750,9.3750,-0.0247,0.8203
18,-83.6250,9.3750,0.0044,0.9547
19,-83.3750,9.3750,0.0466,0.7764
20,-83.1250,9.3750,0.0883,0.7333
21,-85.1250,9.6250,-0.1079,0.7333
23,-84.6250,9.6250,-0.1127,0.6092
24,-84.3750,9.6250,-0.1057,0.5701
25,-84.1250,9.6250,-0.0527,0.7333
26,-83.8750,9.6250,-0.0080,0.9096
27,-83.6250,9.6250,0.0451,0.8203
28,-83.3750,9.6250,0.0738,0.6909
29,-83.1250,9.6250,0.1104,0.6092
31,-85.3750,9.8750,-0.1334,0.5321
32,-85.1250,9.8750,-0.1519,0.4603
34,-84.6250,9.8750,-0.1337,0.6496
35,-84.3750,9.8750,-0.1048,0.6909
36,-84.1250,9.8750,-0.0333,1.0000
37,-83.8750,9.8750,0.0041,0.8203
38,-83.6250,9.8750,0.0744,0.7333
39,-83.3750,9.8750,0.1119,0.6496
40,-83.1250,9.8750,0.1406,0.4955
42,-85.6250,10.1250,-0.1172,0.5701
43,-85.3750,10.1250,-0.1234,0.5321
45,-84.8750,10.1250,-0.1414,0.6092
46,-84.6250,10.1250,-0.1363,0.5701
47,-84.3750,10.1250,-0.1155,0.6909
48,-84.1250,10.1250,-0.0595,0.9096
49,-83.8750,10.1250,0.0530,0.8647
50,-83.6250,10.1250,0.1428,0.6496
51,-83.3750,10.1250,0.1957,0.5701
54,-85.6250,10.3750,-0.1310,0.4265
55,-85.3750,10.3750,-0.1349,0.4603
56,-85.1250,10.3750,-0.1524,0.4955
57,-84.8750,10.3750,-0.1646,0.4955
58,-84.6250,10.3750,-0.1648,0.4955
59,-84.3750,10.3750,-0.1507,0.5701
60,-84.1250,10.3750,-0.0978,0.8203
61,-83.8750,10.3750,0.0125,0.9547
62,-83.6250,10.3750,0.1053,0.7764
65,-85.6250,10.6250,-0.1408,0.4603
66,-85.3750,10.6250,-0.1486,0.4955
67,-85.1250,10.6250,-0.1699,0.4955
68,-84.8750,10.6250,-0.1852,0.4265
69,-84.6250,10.6250,-0.1879,0.4265
70,-84.3750,10.6250,-0.1786,0.4955
71,-84.1250,10.6250,-0.1373,0.6909
72,-83.8750,10.6250,-0.0445,1.0000
73,-83.6250,10.6250,0.0409,0.9547
76,-85.6250,10.8750,-0.1543,0.3942
77,-85.3750,10.8750,-0.1622,0.5321
78,-85.1250,10.8750,-0.1823,0.4603
79,-84.8750,10.8750,-0.1992,0.4265
80,-84.6250,10.8750,-0.2038,0.4603
81,-84.3750,10.8750,-0.1978,0.4603
82,-84.1250,10.8750,-0.1591,0.6092
83,-83.8750,10.8750,-0.0643,0.8203
84,-83.6250,10.8750,0.0075,0.9547
