ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
3,-83.1250,8.3750,4.0267,0.0468,-1.1556,0.3635,-5.1822,0.0783,0.6106,0.2560,-0.0914,0.7764
5,-83.6250,8.6250,4.5422,0.0409,-1.8844,0.1728,-6.4267,0.0356,0.3902,0.3066,-0.1266,0.7764
7,-83.1250,8.6250,4.1200,0.0609,-1.4644,0.2805,-5.5844,0.0783,0.5811,0.3343,-0.2563,0.6909
9,-83.3750,8.8750,3.8622,0.0995,-2.2289,0.1914,-6.0911,0.0884,0.2929,0.5321,-0.3007,0.5321
10,-83.1250,8.8750,3.4489,0.1728,-2.5378,0.2115,-5.9867,0.0884,0.3112,0.6092,-0.3292,0.4603
12,-83.6250,9.1250,2.7533,0.1252,-1.6956,0.3066,-4.4489,0.1252,0.3291,0.5321,-0.4224,0.2560
13,-83.3750,9.1250,1.2778,0.5321,-1.5244,0.3343,-2.8022,0.2330,0.4171,0.5321,-0.5570,0.1398
14,-83.1250,9.1250,1.7600,0.4265,-1.3067,0.5321,-3.0667,0.2560,0.3858,0.6092,-0.5237,0.2330
16,-84.1250,9.3750,0.7200,0.6092,1.0956,0.4265,0.3755,0.8647,0.5043,0.2560,-0.6404,0.1556
17,-83.8750,9.3750,1.7911,0.3066,-2.3356,0.2115,-4.1267,0.1252,0.3250,0.6909,-0.4821,0.2330
18,-83.6250,9.3750,0.8578,0.7333,-2.5245,0.2805,-3.3822,0.2330,0.3702,0.4265,-0.5025,0.2560
19,-83.3750,9.3750,1.2600,0.4603,-2.9200,0.0995,-4.1800,0.1556,0.3415,0.6909,-0.5144,0.1556
20,-83.1250,9.3750,0.2933,0.7333,-2.1733,0.1398,-2.4667,0.3066,0.4109,0.4955,-0.5569,0.2115
21,-85.1250,9.6250,0.2111,0.8203,0.2333,0.7333,0.0222,0.6092,0.3850,0.4603,-0.5804,0.2560
23,-84.6250,9.6250,1.7089,0.3635,0.4222,0.6909,-1.2867,0.9096,0.4173,0.3635,-0.6330,0.2115
