ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
65,-85.6250,10.6250,-0.9133,0.3942,1.2711,0.4265,2.1845,0.3635,0.0858,0.6092,-0.5115,0.1398
66,-85.3750,10.6250,-1.3222,0.3066,1.2444,0.7764,2.5667,0.1398,0.1453,0.6496,-0.6521,0.0995
67,-85.1250,10.6250,0.3200,0.8647,1.0845,0.8647,0.7645,0.6909,0.1389,0.4955,-0.7899,0.0783
68,-84.8750,10.6250,-1.1600,0.5301,4.4089,0.1556,5.5689,0.1398,0.6959,0.0609,-1.2553,0.0609
69,-84.6250,10.6250,-1.9067,0.0995,4.0933,0.1914,6.0000,0.1252,0.6961,0.0468,-1.4334,0.0691
70,-84.3750,10.6250,-2.0200,0.1728,4.2733,0.1118,6.2934,0.0409,0.7025,0.0231,-1.4549,0.0609
71,-84.1250,10.6250,-2.6333,0.0535,5.6089,0.0691,8.2422,0.0171,0.8308,0.0409,-1.6609,0.0884
72,-83.8750,10.6250,-1.2378,0.5701,2.1644,0.3343,3.4022,0.4955,0.3378,0.6909,-1.2534,0.0884
73,-83.6250,10.6250,-2.8200,0.1556,2.5422,0.1914,5.3622,0.0884,0.6291,0.3343,-1.4249,0.0995
76,-85.6250,10.8750,-1.6311,0.2115,1.3089,0.5321,2.9400,0.2805,0.1402,0.4955,-0.6531,0.0783
77,-85.3750,10.8750,-0.2778,0.6832,1.9356,0.4603,2.2133,0.3066,0.1489,0.5321,-0.7571,0.0884
78,-85.1250,10.8750,-0.5444,0.7333,1.3533,0.5701,1.8978,0.3635,0.2107,0.3066,-0.9435,0.0884
79,-84.8750,10.8750,-1.7022,0.1728,3.8933,0.2115,5.5956,0.1398,0.4942,0.0356,-1.2454,0.0995
80,-84.6250,10.8750,-2.0311,0.1728,4.3289,0.1556,6.3600,0.0691,0.5805,0.0356,-1.4846,0.0884
81,-84.3750,10.8750,-2.1711,0.1252,5.1378,0.0649,7.3089,0.0309,0.7440,0.0609,-1.6371,0.1556
82,-84.1250,10.8750,-2.0133,0.1117,5.1956,0.1252,7.2089,0.0609,0.7164,0.0884,-1.5997,0.1252
83,-83.8750,10.8750,-1.9000,0.2560,1.6289,0.4265,3.5289,0.3343,0.3748,0.6092,-1.1317,0.1252
84,-83.6250,10.8750,-3.3045,0.1398,2.1756,0.2805,5.4800,0.1252,0.5479,0.3066,-1.1756,0.0995
86,-85.6250,11.1250,-2.1311,0.1118,1.8178,0.5701,3.9489,0.3343,0.2234,0.5321,-0.5536,0.2115
87,-85.3750,11.1250,-1.5378,0.3635,1.6244,0.7333,3.1622,0.4265,0.3771,0.2115,-0.7464,0.0995
88,-85.1250,11.1250,-1.6067,0.2115,3.1244,0.2805,4.7311,0.2330,0.3937,0.1118,-0.9108,0.1118
89,-84.8750,11.1250,-2.3267,0.0783,3.4445,0.2560,5.7711,0.1914,0.2274,0.2560,-1.0471,0.0995
90,-84.6250,11.1250,-1.9022,0.1118,3.5778,0.2330,5.4800,0.0884,0.2640,0.4265,-1.2261,0.1556
91,-84.3750,11.1250,-1.6422,0.1182,3.1489,0.3635,4.7911,0.1475,0.4420,0.3066,-1.4508,0.1556
95,-85.8750,11.3750,-2.0333,0.0783,2.6067,0.3343,4.6400,0.1728,0.2084,0.5321,-0.5946,0.1252
96,-85.6250,11.3750,-2.3755,0.0995,2.3133,0.3305,4.6889,0.1252,0.2286,0.3635,-0.6228,0.1252
