ID,Lon,Lat,ann_avg,p-ann_avg
3,-83.1250,8.3750,0.0514,0.8647
5,-83.6250,8.6250,-0.0825,0.6496
7,-83.1250,8.6250,-0.0213,0.8203
9,-83.3750,8.8750,-0.1385,0.6909
10,-83.1250,8.8750,-0.1112,0.6909
12,-83.6250,9.1250,-0.2885,0.4265
13,-83.3750,9.1250,-0.2469,0.5701
14,-83.1250,9.1250,-0.2145,0.6909
16,-84.1250,9.3750,-0.3563,0.3066
17,-83.8750,9.3750,-0.3785,0.3343
18,-83.6250,9.3750,-0.3424,0.4265
19,-83.3750,9.3750,-0.2923,0.4603
20,-83.1250,9.3750,-0.2491,0.6496
21,-85.1250,9.6250,-0.4148,0.3066
23,-84.6250,9.6250,-0.4703,0.2115
24,-84.3750,9.6250,-0.4626,0.2115
25,-84.1250,9.6250,-0.4162,0.2805
26,-83.8750,9.6250,-0.4377,0.4955
27,-83.6250,9.6250,-0.3794,0.5321
28,-83.3750,9.6250,-0.2997,0.5701
29,-83.1250,9.6250,-0.2305,0.6909
31,-85.3750,9.8750,-0.4526,0.2330
32,-85.1250,9.8750,-0.5052,0.2115
34,-84.6250,9.8750,-0.5494,0.2115
35,-84.3750,9.8750,-0.5116,0.2330
36,-84.1250,9.8750,-0.4393,0.4265
37,-83.8750,9.8750,-0.4718,0.5321
38,-83.6250,9.8750,-0.3936,0.6496
39,-83.3750,9.8750,-0.2944,0.6909
40,-83.1250,9.8750,-0.2350,0.7764
42,-85.6250,10.1250,-0.4322,0.2115
43,-85.3750,10.1250,-0.4551,0.1914
45,-84.8750,10.1250,-0.5985,0.2115
46,-84.6250,10.1250,-0.6318,0.1914
47,-84.3750,10.1250,-0.6183,0.2560
48,-84.1250,10.1250,-0.5441,0.3635
49,-83.8750,10.1250,-0.4213,0.6496
50,-83.6250,10.1250,-0.3197,0.6909
51,-83.3750,10.1250,-0.2412,0.8647
54,-85.6250,10.3750,-0.4418,0.1728
55,-85.3750,10.3750,-0.4699,0.1914
56,-85.1250,10.3750,-0.5380,0.1914
57,-84.8750,10.3750,-0.6463,0.1914
58,-84.6250,10.3750,-0.6957,0.2115
59,-84.3750,10.3750,-0.7007,0.2330
60,-84.1250,10.3750,-0.6383,0.3635
61,-83.8750,10.3750,-0.5130,0.5701
62,-83.6250,10.3750,-0.4161,0.6496
65,-85.6250,10.6250,-0.4440,0.1556
66,-85.3750,10.6250,-0.5112,0.1914
67,-85.1250,10.6250,-0.5958,0.1914
68,-84.8750,10.6250,-0.6839,0.1914
69,-84.6250,10.6250,-0.7204,0.2115
70,-84.3750,10.6250,-0.7214,0.2330
71,-84.1250,10.6250,-0.7034,0.2805
72,-83.8750,10.6250,-0.6522,0.4603
73,-83.6250,10.6250,-0.5929,0.4955
76,-85.6250,10.8750,-0.4620,0.1728
77,-85.3750,10.8750,-0.5407,0.1556
78,-85.1250,10.8750,-0.6316,0.1728
79,-84.8750,10.8750,-0.7160,0.1728
80,-84.6250,10.8750,-0.7627,0.1914
81,-84.3750,10.8750,-0.7890,0.2115
82,-84.1250,10.8750,-0.7885,0.2330
83,-83.8750,10.8750,-0.7244,0.3942
84,-83.6250,10.8750,-0.6811,0.4603
86,-85.6250,11.1250,-0.4909,0.1398
87,-85.3750,11.1250,-0.5354,0.1728
88,-85.1250,11.1250,-0.6149,0.1728
89,-84.8750,11.1250,-0.7076,0.1556
90,-84.6250,11.1250,-0.7861,0.1728
91,-84.3750,11.1250,-0.8739,0.2330
95,-85.8750,11.3750,-0.4915,0.1398
96,-85.6250,11.3750,-0.5202,0.1556
97,-85.3750,11.3750,-0.5517,0.1728
98,-85.1250,11.3750,-0.6323,0.1556
