ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
47,-84.3750,10.1250,17.8027,16.1560,20.2367,19.2135,17.4158,18.7472,18.0356,18.7196,18.4513,18.8302,16.8251,18.0935,17.8930,15.7446,20.0974
48,-84.1250,10.1250,18.9609,17.2396,21.2889,20.4363,18.4770,19.7277,18.9230,20.5488,19.6746,20.1745,18.1317,19.2251,19.1934,16.8567,21.3544
49,-83.8750,10.1250,21.1211,19.0971,22.5054,22.6952,19.7920,21.8835,20.9739,23.6680,21.5954,20.6922,19.8504,21.3867,22.2292,19.0569,23.9570
50,-83.6250,10.1250,21.1655,19.2430,21.8190,22.1652,19.0319,21.7283,20.6498,24.1637,21.2573,20.2902,19.9091,20.9682,21.9496,18.3696,23.7688
51,-83.3750,10.1250,19.2705,17.4917,19.2015,19.4672,16.6487,19.6428,18.4084,22.2576,19.2830,18.0046,18.0748,18.6695,19.9708,15.5553,21.3966
54,-85.6250,10.3750,11.1689,10.8782,15.7059,14.1259,11.7893,14.4771,14.1265,13.5831,12.6250,11.8741,10.9728,12.4910,9.7570,10.4360,12.7605
55,-85.3750,10.3750,11.5533,11.3066,15.9594,14.4734,12.0535,14.4745,14.2806,13.8820,12.9223,12.2956,11.4463,12.7735,10.8588,10.8322,13.2931
56,-85.1250,10.3750,13.1040,12.3205,17.2583,15.6444,13.4174,15.7150,15.1645,15.0841,14.1370,13.8953,12.7580,14.1820,13.2374,12.2315,14.9805
57,-84.8750,10.3750,16.1321,14.5358,20.1815,18.1660,15.7677,17.6394,17.6976,17.8511,16.9455,17.1637,15.1405,16.7972,16.3220,14.3804,18.0246
58,-84.6250,10.3750,18.0600,15.9232,21.2321,19.8182,17.6937,19.0730,18.4470,19.2691,18.5851,19.3703,16.8550,18.5918,18.3538,16.2637,20.0952
59,-84.3750,10.3750,19.0854,16.7661,21.2449,20.7506,18.7886,19.8138,18.6318,20.1616,19.4939,20.6628,17.8691,19.5561,19.4875,17.4164,21.1950
60,-84.1250,10.3750,20.1296,17.7416,22.0466,21.8334,19.8755,20.6400,19.3627,21.8996,20.6787,21.7998,19.0786,20.5904,20.6600,18.4027,22.2812
61,-83.8750,10.3750,21.3542,18.8521,22.4660,23.0009,19.9785,22.2017,20.6863,24.1413,21.6956,21.2737,19.8782,21.9245,22.3098,19.7130,23.7736
62,-83.6250,10.3750,21.3602,19.0176,21.5564,22.4077,18.7471,21.8939,20.3688,24.2125,21.2995,20.6824,19.9993,21.4465,21.8961,18.8306,23.5198
65,-85.6250,10.6250,11.2875,10.6173,15.2925,13.7309,11.6655,14.3777,13.6057,14.1550,12.6327,11.9333,10.8666,12.1966,10.2233,10.5797,12.6081
66,-85.3750,10.6250,12.5982,11.6589,16.5481,14.9230,12.8441,15.3844,14.5546,15.4503,13.8405,13.3210,12.0833,13.3997,12.2370,11.7963,14.1253
67,-85.1250,10.6250,14.4836,12.8335,18.0589,16.4946,14.5900,16.7926,15.5109,16.8082,15.2917,15.3036,13.8121,15.1073,14.9705,13.5336,16.0842
68,-84.8750,10.6250,17.0320,14.8487,20.2500,18.8111,16.6953,18.2411,17.2327,19.0006,17.5378,18.2780,15.9572,17.2246,17.5511,15.7749,18.7283
69,-84.6250,10.6250,18.5580,16.1355,20.9177,20.2680,18.3902,19.1240,17.9254,20.1024,19.1478,20.0170,17.4066,18.9240,19.1063,17.4051,20.3381
70,-84.3750,10.6250,18.9828,16.4483,20.7657,20.6379,18.9559,19.3716,18.1941,20.3201,19.7679,20.5513,17.7821,19.4139,19.5420,17.8625,20.7881
71,-84.1250,10.6250,20.3728,17.7081,22.0376,22.1686,20.5997,20.7097,19.3702,22.7199,21.4574,22.0414,19.3790,20.9142,21.0818,19.2304,22.3079
72,-83.8750,10.6250,22.5579,19.6546,23.5690,24.6198,21.1400,23.5877,21.6196,25.9878,23.1066,22.7909,21.1883,23.0461,23.4597,21.3979,25.0976
73,-83.6250,10.6250,22.6924,20.0218,22.8997,24.3468,19.5848,23.5085,21.6234,26.0200,22.9418,22.4771,21.6324,22.8493,23.0369,20.4927,25.1055
76,-85.6250,10.8750,11.6466,10.6382,14.8810,13.6932,11.7531,14.1902,13.3308,14.0514,12.8460,12.1844,11.0471,11.9931,10.9883,10.9401,12.8580
77,-85.3750,10.8750,13.0730,11.7324,16.2814,14.9929,13.0647,15.3340,14.4071,15.5037,14.1875,13.6907,12.3979,13.2792,13.0822,12.2711,14.4791
78,-85.1250,10.8750,14.8781,12.9887,17.7545,16.7149,14.8127,16.6870,15.3346,16.8942,15.5658,15.7205,14.1394,14.9532,15.6839,14.1433,16.5038
79,-84.8750,10.8750,17.2199,14.9080,19.6068,18.9023,16.8656,17.9997,16.8065,19.0689,17.8519,18.4573,16.1557,17.1787,17.8875,16.3559,18.9390
80,-84.6250,10.8750,18.9131,16.2806,20.8328,20.6152,18.8093,19.2959,17.9973,20.5361,19.7990,20.3120,17.7488,19.0969,19.5451,18.1296,20.7573
81,-84.3750,10.8750,19.8176,16.9218,21.3073,21.5776,19.9268,20.1605,18.8311,21.4384,20.9142,21.3124,18.4866,20.0282,20.4478,19.0105,21.7133
82,-84.1250,10.8750,20.9156,17.8872,22.2237,22.8133,21.2743,21.1624,19.7435,23.4401,22.3157,22.5058,19.8053,21.1219,21.5890,20.0790,22.9277
83,-83.8750,10.8750,21.9232,18.9749,22.7060,24.1187,20.2724,23.0209,20.9854,24.9772,22.4871,22.0886,20.6123,21.8671,22.4085,21.1338,24.3398
