ID,Lon,Lat,ann_avg
276,-89.1250,13.8750,4.7245
277,-88.8750,13.8750,4.5623
278,-88.6250,13.8750,4.4247
279,-88.3750,13.8750,4.3069
280,-88.1250,13.8750,4.1742
281,-87.8750,13.8750,3.9974
282,-87.6250,13.8750,3.7398
283,-87.3750,13.8750,3.3915
284,-87.1250,13.8750,3.2730
285,-86.8750,13.8750,3.3851
286,-86.6250,13.8750,3.5568
287,-86.3750,13.8750,3.8072
288,-86.1250,13.8750,4.0898
289,-85.8750,13.8750,4.4389
290,-85.6250,13.8750,4.8357
291,-85.3750,13.8750,5.3217
292,-85.1250,13.8750,5.8986
301,-91.6250,14.1250,6.7181
302,-91.3750,14.1250,7.4490
303,-91.1250,14.1250,8.1354
304,-90.8750,14.1250,8.8890
305,-90.6250,14.1250,8.6486
306,-90.3750,14.1250,7.5482
307,-90.1250,14.1250,6.7056
308,-89.8750,14.1250,6.1275
309,-89.6250,14.1250,5.6286
310,-89.3750,14.1250,5.2160
311,-89.1250,14.1250,4.8988
312,-88.8750,14.1250,4.6535
313,-88.6250,14.1250,4.5332
314,-88.3750,14.1250,4.5190
315,-88.1250,14.1250,4.4272
316,-87.8750,14.1250,4.2519
318,-87.3750,14.1250,3.7886
319,-87.1250,14.1250,3.6497
320,-86.8750,14.1250,3.6220
321,-86.6250,14.1250,3.6594
322,-86.3750,14.1250,3.7791
323,-86.1250,14.1250,3.9808
324,-85.8750,14.1250,4.2699
325,-85.6250,14.1250,4.6932
326,-85.3750,14.1250,5.2600
327,-85.1250,14.1250,5.9404
328,-84.8750,14.1250,6.7448
337,-91.8750,14.3750,7.1633
338,-91.6250,14.3750,7.4850
339,-91.3750,14.3750,7.5339
340,-91.1250,14.3750,7.7942
341,-90.8750,14.3750,8.3874
342,-90.6250,14.3750,8.2110
343,-90.3750,14.3750,7.4132
344,-90.1250,14.3750,6.8457
345,-89.8750,14.3750,6.5177
346,-89.6250,14.3750,6.1031
347,-89.3750,14.3750,5.5988
348,-89.1250,14.3750,5.1522
349,-88.8750,14.3750,4.7332
350,-88.6250,14.3750,4.6188
351,-88.3750,14.3750,4.7872
352,-88.1250,14.3750,4.8144
353,-87.8750,14.3750,4.6942
355,-87.3750,14.3750,4.1738
356,-87.1250,14.3750,3.9701
357,-86.8750,14.3750,3.8677
364,-85.1250,14.3750,5.9799
374,-92.1250,14.6250,6.3334
375,-91.8750,14.6250,7.9811
376,-91.6250,14.6250,8.3091
377,-91.3750,14.6250,7.2685
378,-91.1250,14.6250,6.5975
379,-90.8750,14.6250,6.3825
380,-90.6250,14.6250,6.3022
381,-90.3750,14.6250,6.4848
382,-90.1250,14.6250,6.6885
383,-89.8750,14.6250,6.9185
384,-89.6250,14.6250,6.7375
385,-89.3750,14.6250,6.1368
386,-89.1250,14.6250,5.5098
387,-88.8750,14.6250,4.8176
388,-88.6250,14.6250,4.6977
389,-88.3750,14.6250,5.1292
390,-88.1250,14.6250,5.3453
394,-87.1250,14.6250,4.2541
395,-86.8750,14.6250,4.1380
413,-92.1250,14.8750,5.8298
414,-91.8750,14.8750,7.6744
415,-91.6250,14.8750,8.1052
416,-91.3750,14.8750,7.0757
417,-91.1250,14.8750,6.3765
418,-90.8750,14.8750,6.0892
419,-90.6250,14.8750,6.0732
420,-90.3750,14.8750,6.4419
421,-90.1250,14.8750,6.9734
422,-89.8750,14.8750,7.6775
423,-89.6250,14.8750,7.6401
424,-89.3750,14.8750,6.8469
425,-89.1250,14.8750,6.0802
426,-88.8750,14.8750,5.2961
427,-88.6250,14.8750,5.1165
433,-87.1250,14.8750,4.4861
454,-91.8750,15.1250,6.2634
455,-91.6250,15.1250,6.8870
456,-91.3750,15.1250,6.9798
457,-91.1250,15.1250,7.1740
458,-90.8750,15.1250,7.5713
459,-90.6250,15.1250,7.5861
460,-90.3750,15.1250,7.3368
461,-90.1250,15.1250,7.7573
462,-89.8750,15.1250,8.8585
463,-89.6250,15.1250,8.8625
464,-89.3750,15.1250,7.7659
466,-88.8750,15.1250,6.1838
493,-92.1250,15.3750,5.2629
