ID,Lon,Lat,nyears,onset_mx_mn,onset_dy_mn,end_mx_mn,end_dy_mn,min_mn_mn,duration_mn,intensity_mn,onset_mx_sd,onset_dy_sd,end_mx_sd,end_dy_sd,min_mn_sd,duration_sd,intensity_sd
37,-83.875,9.875,30,22.4088,163.9333,22.3604,243.2333,9.7543,79.3000,12.6303,4.9800,19.6327,5.5234,20.7159,4.0054,31.5170,4.7002
38,-83.625,9.875,30,22.5657,163.9000,21.6540,240.3667,10.1555,76.4667,11.9544,4.5015,19.7071,5.2539,21.6341,4.5572,32.9323,4.7394
39,-83.375,9.875,30,19.0881,158.3333,17.3757,234.3333,8.1181,76.0000,10.1138,4.2768,21.6911,4.4609,22.5317,4.6507,31.5704,3.7134
40,-83.125,9.875,30,17.6193,159.4000,15.4176,226.1667,7.8689,66.7667,8.6496,5.2061,22.9671,5.1545,25.8138,5.8488,37.6744,4.1492
42,-85.625,10.125,30,14.5217,160.5667,18.5545,247.6667,3.5200,87.1000,13.0181,4.9514,18.9258,4.3077,7.2127,1.4008,20.9043,3.1214
43,-85.375,10.125,30,15.0785,159.9000,19.5234,247.6667,3.5212,87.7667,13.7797,5.1661,19.0668,4.5261,7.2127,1.4502,21.1068,3.3016
45,-84.875,10.125,30,16.6985,167.0333,20.8687,245.2333,6.4055,78.2000,12.3781,5.1026,17.9779,3.6105,13.3020,2.5643,22.9428,3.9051
46,-84.625,10.125,30,17.7678,170.9667,22.2797,244.4667,7.5394,73.5000,12.4843,5.1352,16.0784,3.7685,13.2059,2.7300,20.9083,4.0391
47,-84.375,10.125,30,18.3755,172.3000,22.1800,242.1333,8.7613,69.8333,11.5164,5.0258,20.1069,4.6465,15.3908,3.9247,26.4980,5.0283
48,-84.125,10.125,30,19.6955,173.8333,22.4675,236.4667,10.3361,62.6333,10.7454,5.2656,20.0294,5.3516,17.6278,5.6949,28.5337,5.6135
49,-83.875,10.125,30,21.0386,162.6333,24.0482,233.6667,10.6764,71.0333,11.8670,4.6487,24.0595,6.2382,17.3510,5.8160,33.1491,4.7628
50,-83.625,10.125,30,21.0020,162.5667,22.4659,229.5333,10.5488,66.9667,11.1852,4.5101,23.4869,5.7246,18.0683,5.4460,33.5944,4.4506
51,-83.375,10.125,30,19.2909,163.6333,19.3368,222.9333,9.7279,59.3000,9.5860,4.5853,23.5174,4.8595,18.4726,4.9940,32.2214,4.1013
54,-85.625,10.375,30,14.0252,161.1333,17.8383,247.6667,3.3555,86.5333,12.5763,4.7400,18.6284,4.0590,7.2127,1.3042,20.6025,2.9665
55,-85.375,10.375,30,14.6290,161.1333,18.8677,247.6667,3.4708,86.5333,13.2776,4.9643,18.6284,4.2709,7.2127,1.3589,20.6025,3.1051
56,-85.125,10.375,30,15.9785,162.9000,20.9167,247.6000,4.4884,84.7000,13.9592,5.1010,19.2414,4.6300,7.1660,1.8435,21.2686,3.3455
57,-84.875,10.375,30,16.9572,171.0000,20.6671,244.8333,7.0726,73.8333,11.7395,4.9109,15.7436,3.4911,13.2511,2.6240,20.9648,3.8176
58,-84.625,10.375,30,18.7414,176.6000,22.4140,241.5000,9.1764,64.9000,11.4013,5.2278,16.3825,4.2192,14.3785,4.2979,23.8058,5.0157
59,-84.375,10.375,30,19.8655,178.7000,23.0285,236.2000,10.8129,57.5000,10.6341,5.6156,16.0949,5.2824,17.5605,6.0038,24.9921,5.6613
60,-84.125,10.375,30,21.0571,177.4333,23.4506,231.5667,12.0305,54.1333,10.2234,6.2425,18.5057,5.7940,20.1831,6.9511,29.7133,6.2229
61,-83.875,10.375,30,21.5810,168.9000,24.5126,227.0667,12.2239,58.1667,10.8229,5.1822,22.7965,7.2708,18.6139,6.9709,34.1953,5.1799
62,-83.625,10.375,30,21.5817,168.9333,23.1778,223.7333,12.2899,54.8000,10.0899,4.9018,22.8351,6.8939,17.9212,6.7656,34.8943,5.3732
65,-85.625,10.625,30,13.7885,162.7667,16.8677,247.6667,3.5932,84.9000,11.7349,4.4792,19.0583,3.7440,7.2127,1.4561,21.2771,2.8499
66,-85.375,10.625,30,15.2551,165.3667,18.8742,247.5667,4.2346,82.2000,12.8300,4.8447,19.0580,4.1597,7.2144,1.6844,20.6053,3.0850
67,-85.125,10.625,30,16.8702,172.1000,20.6634,244.0667,5.5243,71.9667,13.2425,4.9375,17.7129,4.5361,12.5669,1.9385,20.9474,3.3723
68,-84.875,10.625,30,17.6208,177.3000,19.8469,238.1667,9.3268,60.8667,9.4070,5.0259,15.8900,3.7313,17.8269,4.9872,27.7212,4.8610
69,-84.625,10.625,30,19.2822,179.0000,21.4517,233.0667,11.0147,54.0667,9.3522,5.6082,15.5186,4.6508,19.7535,6.0571,28.1534,5.6435
70,-84.375,10.625,30,19.7945,179.0667,21.9101,232.8000,11.5280,53.7333,9.3243,6.0354,15.1383,5.1433,19.6406,6.5378,28.0700,5.7787
71,-84.125,10.625,30,21.4337,174.2000,23.1613,229.6333,12.6766,55.4333,9.6209,6.8183,19.9817,5.6777,20.0404,7.4200,33.8044,6.0452
