ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
3,-83.1250,8.3750,2.0586,0.3942,1.1417,0.7764,-0.9169,0.6092,0.5976,0.2115,-0.3239,0.3635
5,-83.6250,8.6250,1.9597,0.5321,0.7369,0.6496,-1.2227,0.6496,0.3675,0.6092,-0.3197,0.3942
7,-83.1250,8.6250,1.7721,0.4265,1.0033,0.7333,-0.7689,0.4265,0.5770,0.3066,-0.4736,0.4603
9,-83.3750,8.8750,1.6527,0.4955,0.3906,1.0000,-1.2621,0.5701,0.3357,0.6496,-0.4331,0.3066
10,-83.1250,8.8750,1.7817,0.6092,-0.0465,1.0000,-1.8282,0.4603,0.3543,0.4603,-0.4433,0.3343
12,-83.6250,9.1250,0.8514,0.7333,-0.6569,0.8647,-1.5084,0.5509,0.2321,0.7764,-0.4170,0.1556
13,-83.3750,9.1250,1.1133,0.6496,0.2352,0.6092,-0.8781,0.6092,0.2998,0.8647,-0.4919,0.1398
14,-83.1250,9.1250,0.1009,0.9547,0.0191,0.6496,-0.0817,0.8203,0.3354,0.7333,-0.5237,0.1556
16,-84.1250,9.3750,0.1761,0.8203,0.5463,0.7764,0.3703,0.7764,0.2467,0.7764,-0.6531,0.0884
17,-83.8750,9.3750,0.3972,0.7333,-1.3945,0.3942,-1.7918,0.3343,0.1701,0.9096,-0.4261,0.1398
18,-83.6250,9.3750,0.7128,0.7332,-1.5887,0.6092,-2.3016,0.3942,0.1865,0.7333,-0.3913,0.1728
19,-83.3750,9.3750,0.4521,0.7333,-0.9311,0.4603,-1.3832,0.6909,0.2394,0.9096,-0.4433,0.1398
20,-83.1250,9.3750,-0.2352,0.8203,0.3108,0.7764,0.5460,0.9547,0.3241,0.7333,-0.5052,0.1556
21,-85.1250,9.6250,-2.3766,0.4955,1.1371,0.4955,3.5137,0.2115,0.2030,0.5321,-0.6569,0.2115
23,-84.6250,9.6250,-0.6959,0.9547,1.2072,0.4955,1.9031,0.3942,0.2150,0.7333,-0.6555,0.1556
24,-84.3750,9.6250,0.4923,0.7764,1.4836,0.3635,0.9913,0.8647,0.1565,0.9547,-0.5751,0.1252
25,-84.1250,9.6250,0.4056,0.5701,0.7935,0.6832,0.3879,0.8647,0.1863,0.9096,-0.6701,0.0995
26,-83.8750,9.6250,0.5446,0.4265,-1.6598,0.5701,-2.2044,0.3066,0.1879,0.7764,-0.4925,0.1728
27,-83.6250,9.6250,0.4660,0.6496,-1.3526,0.5701,-1.8186,0.4603,0.2547,0.7333,-0.4560,0.2330
28,-83.3750,9.6250,0.9798,0.4265,-1.1207,0.4955,-2.1005,0.3942,0.2073,0.7764,-0.3377,0.3635
29,-83.1250,9.6250,0.2978,0.8203,0.1786,0.9547,-0.1191,0.9096,0.3180,0.5098,-0.3964,0.4265
31,-85.3750,9.8750,-2.7619,0.2330,1.9044,0.2115,4.6663,0.1398,0.0868,0.8647,-0.6677,0.1398
32,-85.1250,9.8750,-2.9145,0.2115,1.5834,0.1728,4.4979,0.1398,0.1108,0.7333,-0.7049,0.2115
34,-84.6250,9.8750,-2.1711,0.3066,1.3209,0.5509,3.4920,0.1728,0.2165,0.7333,-0.8233,0.1398
35,-84.3750,9.8750,-0.5908,0.7764,0.7159,0.7764,1.3067,0.8261,0.2154,0.8203,-0.7498,0.0995
36,-84.1250,9.8750,-0.7723,0.8203,0.5567,0.6092,1.3290,1.0000,0.1894,0.9096,-0.7395,0.0995
37,-83.8750,9.8750,0.0573,0.7764,-0.9202,0.5700,-0.9775,0.6092,0.2958,0.6909,-0.5381,0.2560
38,-83.6250,9.8750,-0.4605,0.6909,0.1475,0.8203,0.6080,0.9547,0.4981,0.4955,-0.6138,0.2330
39,-83.3750,9.8750,-0.3405,0.9773,0.8791,0.9096,1.2197,0.8647,0.5910,0.1914,-0.6499,0.3343
40,-83.1250,9.8750,-0.6102,1.0000,2.0453,0.6292,2.6555,0.5701,0.4617,0.2115,-0.5128,0.4603
42,-85.6250,10.1250,-2.7297,0.1556,0.4950,0.8203,3.2248,0.1118,-0.1197,0.6909,-0.4797,0.0884
43,-85.3750,10.1250,-2.4783,0.2560,0.7277,0.9547,3.2060,0.1914,-0.0257,1.0000,-0.5177,0.0884
45,-84.8750,10.1250,-1.7621,0.4955,0.5588,0.9547,2.3209,0.3343,0.0865,0.9096,-0.7354,0.1252
46,-84.6250,10.1250,-1.3489,0.6496,0.1355,0.8203,1.4844,0.6909,0.0798,0.9547,-0.7351,0.1118
47,-84.3750,10.1250,0.0190,0.9547,-0.4190,0.7764,-0.4380,0.8203,0.0457,0.9096,-0.5936,0.2560
48,-84.1250,10.1250,-0.0827,0.8647,1.6108,0.7776,1.6935,0.7333,0.4536,0.3066,-0.9122,0.1398
49,-83.8750,10.1250,-0.9896,0.7764,2.4615,0.5701,3.4511,0.3942,0.4700,0.2330,-0.9497,0.2560
50,-83.6250,10.1250,-0.9139,0.6496,2.8658,0.5321,3.7797,0.5321,0.4036,0.3343,-0.8309,0.2330
51,-83.3750,10.1250,-0.9123,0.9547,2.5624,0.3343,3.4747,0.3066,0.4039,0.4955,-0.7695,0.2805
54,-85.6250,10.3750,-2.9612,0.1118,-0.0157,0.4265,2.9455,0.1728,-0.2538,0.4603,-0.4441,0.1914
55,-85.3750,10.3750,-2.7439,0.3343,0.3357,0.7333,3.0797,0.1556,-0.1793,0.6092,-0.4897,0.0691
56,-85.1250,10.3750,-1.7861,0.5701,-0.0217,0.9547,1.7644,0.5701,-0.1259,0.6496,-0.6264,0.0995
57,-84.8750,10.3750,-1.5458,0.6496,0.4870,0.8647,2.0328,0.5701,0.1010,0.9547,-0.8889,0.0884
58,-84.6250,10.3750,0.4419,0.5701,-0.1383,0.9750,-0.5802,1.0000,0.0410,1.0000,-0.7697,0.1398
59,-84.3750,10.3750,-0.5718,0.9547,1.3962,0.9096,1.9680,0.6909,0.3545,0.4603,-0.9664,0.2330
60,-84.1250,10.3750,-1.5667,0.7333,1.9745,0.6092,3.5412,0.6092,0.3325,0.5701,-0.8982,0.3343
61,-83.8750,10.3750,-0.8256,0.8647,2.9352,0.4265,3.7608,0.4603,0.5008,0.2560,-1.1266,0.1914
62,-83.6250,10.3750,-1.4759,0.9750,3.6535,0.2560,5.1294,0.3343,0.5498,0.3066,-1.0973,0.3066
65,-85.6250,10.6250,-1.9595,0.4265,0.3544,1.0000,2.3138,0.3343,-0.2893,0.3942,-0.4699,0.2115
66,-85.3750,10.6250,-1.9935,0.3942,0.3530,0.8203,2.3465,0.4265,-0.2137,0.5321,-0.5802,0.1914
67,-85.1250,10.6250,-0.7258,0.8203,-0.0554,0.8647,0.6704,0.8203,-0.2391,0.4265,-0.6373,0.3066
68,-84.8750,10.6250,-0.0783,0.9096,1.6820,0.6496,1.7603,0.6092,0.0598,0.9547,-0.8987,0.2805
69,-84.6250,10.6250,-1.3164,0.6378,2.0349,0.5321,3.3513,0.4955,0.3085,0.6092,-1.1340,0.2330
70,-84.3750,10.6250,-1.3214,0.7333,3.0468,0.3066,4.3682,0.1728,0.5430,0.2330,-1.2606,0.1914
71,-84.1250,10.6250,-1.9959,0.3967,4.0569,0.2115,6.0528,0.0783,0.6748,0.1728,-1.3660,0.1914
72,-83.8750,10.6250,-0.5663,0.7333,2.3600,0.3343,2.9263,0.5701,0.4789,0.3942,-1.2083,0.2560
73,-83.6250,10.6250,-1.3979,0.9547,3.4588,0.2805,4.8568,0.4603,0.6561,0.2805,-1.2662,0.2330
76,-85.6250,10.8750,-2.4578,0.1728,-0.0181,0.7764,2.4397,0.3942,-0.2413,0.4603,-0.5768,0.1556
77,-85.3750,10.8750,-1.3858,0.7333,0.3756,0.5701,1.7614,0.4955,-0.2449,0.4603,-0.6251,0.2330
78,-85.1250,10.8750,-0.7255,0.9096,0.3609,0.6496,1.0863,0.4955,-0.1412,0.5321,-0.7711,0.2560
79,-84.8750,10.8750,-0.8591,0.5701,1.5742,0.6092,2.4333,0.5701,0.1188,0.7333,-1.0417,0.2330
80,-84.6250,10.8750,-1.4511,0.7764,3.1156,0.3066,4.5667,0.1728,0.3676,0.3942,-1.3132,0.2115
81,-84.3750,10.8750,-2.3559,0.3942,3.3720,0.1914,5.7279,0.1556,0.5452,0.1556,-1.3965,0.2330
82,-84.1250,10.8750,-1.7193,0.4776,4.5597,0.1252,6.2790,0.1252,0.7072,0.0884,-1.4932,0.2115
83,-83.8750,10.8750,-2.0949,0.6092,2.4345,0.3942,4.5294,0.3635,0.5556,0.3066,-1.2315,0.2560
84,-83.6250,10.8750,-2.4304,0.6496,2.6662,0.3635,5.0966,0.2330,0.5732,0.3942,-1.1068,0.2115
86,-85.6250,11.1250,-2.7337,0.2329,0.6103,0.9096,3.3439,0.2330,-0.1960,0.4603,-0.5576,0.1556
87,-85.3750,11.1250,-2.1967,0.4603,0.9610,0.8203,3.1577,0.3942,-0.0634,0.5701,-0.6675,0.2330
88,-85.1250,11.1250,-1.1503,0.8647,1.6886,0.3942,2.8388,0.5321,0.0385,0.7333,-0.7951,0.2560
89,-84.8750,11.1250,-1.0499,0.5701,2.0713,0.3635,3.1212,0.3343,-0.0310,0.8647,-0.9086,0.2560
90,-84.6250,11.1250,-1.7720,0.6092,1.8427,0.6496,3.6147,0.4265,0.1553,0.7333,-1.1340,0.2805
91,-84.3750,11.1250,-1.9426,0.4265,2.5646,0.3635,4.5072,0.1914,0.3910,0.3942,-1.3568,0.2330
95,-85.8750,11.3750,-2.7709,0.0609,0.4918,0.7764,3.2627,0.0995,-0.2231,0.2330,-0.5884,0.0884
96,-85.6250,11.3750,-3.0171,0.1556,0.9441,0.8647,3.9612,0.2330,-0.1694,0.4603,-0.6216,0.1252
97,-85.3750,11.3750,-2.7850,0.2560,1.0185,0.9096,3.8034,0.4265,-0.0129,0.8647,-0.7499,0.1914
98,-85.1250,11.3750,-1.6997,0.6092,0.8537,0.4603,2.5533,0.6092,-0.0002,0.3942,-0.7815,0.2560
99,-84.8750,11.3750,-0.7499,0.8647,3.0790,0.3066,3.8289,0.2330,-0.0125,0.6909,-0.9464,0.3066
100,-84.6250,11.3750,-1.0944,0.8203,1.6419,0.5321,2.7362,0.6909,0.1085,0.9547,-1.1118,0.3066
105,-86.1250,11.6250,-4.2226,0.0171,1.1342,0.1914,5.3568,0.0076,0.1038,0.9096,-0.7380,0.0125
106,-85.8750,11.6250,-2.7216,0.0884,1.4077,0.4603,4.1292,0.0884,-0.1469,0.3343,-0.6209,0.0609
107,-85.6250,11.6250,-3.4063,0.0884,1.7330,0.6496,5.1393,0.0884,-0.0436,0.6909,-0.7457,0.0783
108,-85.3750,11.6250,-2.2398,0.4264,0.2010,0.8647,2.4409,0.4955,-0.0585,0.4955,-0.7295,0.1728
109,-85.1250,11.6250,-1.5651,0.5701,1.1248,0.4265,2.6899,0.4955,-0.0878,0.5701,-0.7605,0.2560
110,-84.8750,11.6250,-1.0920,0.7333,2.1542,0.3942,3.2462,0.3066,-0.0758,0.6496,-1.0007,0.3343
111,-84.6250,11.6250,-1.2928,0.4101,2.0650,0.3942,3.3578,0.3942,0.1964,0.6909,-1.3148,0.2115
117,-86.3750,11.8750,-4.0566,0.0146,2.1364,0.0199,6.1930,0.0018,0.0866,0.9547,-0.6572,0.0064
118,-86.1250,11.8750,-4.1383,0.0170,2.4791,0.0185,6.6174,0.0015,0.1203,0.9547,-0.7361,0.0090
119,-85.8750,11.8750,-3.0087,0.1252,1.7184,0.6496,4.7272,0.0535,-0.1117,0.1728,-0.6300,0.0535
120,-85.6250,11.8750,-3.3388,0.0535,0.9304,0.7764,4.2692,0.1252,-0.0858,0.4265,-0.7157,0.0884
121,-85.3750,11.8750,-1.8231,0.4603,0.5150,0.8203,2.3381,0.4955,-0.1350,0.5321,-0.6900,0.1728
122,-85.1250,11.8750,-2.5205,0.2560,0.8501,0.4602,3.3706,0.3635,-0.0857,0.6909,-0.8390,0.2115
123,-84.8750,11.8750,-1.4000,0.5321,1.6798,0.4955,3.0798,0.2330,-0.0347,0.6909,-1.0981,0.2560
130,-86.6250,12.1250,-3.2627,0.0268,2.5786,0.0268,5.8414,0.0045,-0.0812,0.2805,-0.5300,0.0409
131,-86.3750,12.1250,-3.2656,0.0609,2.2227,0.1397,5.4884,0.0106,-0.0466,0.3343,-0.5833,0.0268
132,-86.1250,12.1250,-2.0202,0.1914,2.1539,0.0640,4.1740,0.0231,-0.0313,0.4265,-0.6387,0.0309
133,-85.8750,12.1250,-1.7930,0.2559,1.8390,0.2115,3.6320,0.1118,-0.0130,0.3635,-0.7192,0.0258
134,-85.6250,12.1250,-1.5380,0.4955,2.2978,0.0783,3.8357,0.1252,-0.0238,0.6092,-0.7761,0.0535
135,-85.3750,12.1250,-1.7814,0.3635,1.5696,0.3066,3.3509,0.1728,0.0139,0.6909,-0.8821,0.0609
136,-85.1250,12.1250,-1.8730,0.2805,0.2597,0.8647,2.1326,0.5321,-0.1148,0.8203,-0.8352,0.1914
137,-84.8750,12.1250,-2.7287,0.1398,2.4239,0.3942,5.1526,0.1728,0.1523,0.6092,-1.2154,0.1556
145,-86.8750,12.3750,-3.0940,0.0468,2.0689,0.0171,5.1629,0.0031,-0.1550,0.3343,-0.5018,0.0535
146,-86.6250,12.3750,-2.9378,0.0691,1.5287,0.0995,4.4665,0.0125,-0.1559,0.2115,-0.4944,0.0409
147,-86.3750,12.3750,-2.3615,0.1398,0.9897,0.3343,3.3513,0.0356,-0.1032,0.2330,-0.5596,0.0309
148,-86.1250,12.3750,-1.8104,0.2115,1.5286,0.3066,3.3390,0.0609,-0.0594,0.3066,-0.6339,0.0356
149,-85.8750,12.3750,-0.8181,0.2805,1.0942,0.4265,1.9123,0.1728,-0.1455,0.1728,-0.6119,0.0356
150,-85.6250,12.3750,-1.1405,0.4955,2.8084,0.1252,3.9489,0.0691,-0.0068,0.6909,-0.8050,0.0356
151,-85.3750,12.3750,-0.7087,0.9096,1.9250,0.2115,2.6337,0.3066,-0.0429,0.8203,-0.8401,0.0884
152,-85.1250,12.3750,-1.2012,0.5701,2.4325,0.2330,3.6337,0.2805,0.0186,0.8647,-0.9694,0.1252
153,-84.8750,12.3750,-1.7621,0.2679,3.0655,0.3066,4.8275,0.1728,0.1950,0.8203,-1.2550,0.1118
161,-87.1250,12.6250,-2.5386,0.1914,0.1841,1.0000,2.7227,0.3635,-0.1453,0.4265,-0.5739,0.0409
162,-86.8750,12.6250,-3.1446,0.0783,1.0785,0.1118,4.2231,0.0146,-0.1423,0.3635,-0.5735,0.0268
163,-86.6250,12.6250,-2.7284,0.1118,0.7605,0.2560,3.4889,0.0199,-0.1374,0.2560,-0.5437,0.0199
164,-86.3750,12.6250,-2.3932,0.1556,0.3039,0.7333,2.6971,0.1118,-0.1729,0.1556,-0.4887,0.0309
165,-86.1250,12.6250,-1.4347,0.4265,1.4889,0.3066,2.9236,0.0783,-0.0849,0.2115,-0.5819,0.0268
166,-85.8750,12.6250,-0.6793,0.4955,0.8949,0.6496,1.5742,0.3066,-0.1614,0.2115,-0.5554,0.0468
167,-85.6250,12.6250,-0.7132,0.5321,1.5593,0.5321,2.2725,0.2560,-0.0691,0.5321,-0.6842,0.0409
168,-85.3750,12.6250,-0.8819,0.7764,2.3333,0.1252,3.2152,0.1556,-0.0068,0.9096,-0.8063,0.0609
169,-85.1250,12.6250,-1.0735,0.5701,1.9791,0.3942,3.0526,0.3635,-0.0130,0.9096,-0.8635,0.0783
176,-87.6250,12.8750,-3.0482,0.0356,0.4897,0.6909,3.5379,0.1398,-0.0501,0.8203,-0.5950,0.0409
177,-87.3750,12.8750,-2.6357,0.0995,0.7668,0.5321,3.4026,0.1118,-0.1424,0.7333,-0.5810,0.0468
178,-87.1250,12.8750,-2.9169,0.0468,0.2156,0.9321,3.1325,0.1914,-0.1927,0.4603,-0.5728,0.0468
