ID,Lon,Lat,ann_avg,p-ann_avg
202,-86.6250,13.1250,-0.3140,0.1398
203,-86.3750,13.1250,-0.3223,0.0783
204,-86.1250,13.1250,-0.3416,0.0783
205,-85.8750,13.1250,-0.3718,0.0995
206,-85.6250,13.1250,-0.3935,0.0995
207,-85.3750,13.1250,-0.4031,0.0884
208,-85.1250,13.1250,-0.4129,0.1398
209,-84.8750,13.1250,-0.4193,0.1398
218,-88.8750,13.3750,-0.3292,0.1398
219,-88.6250,13.3750,-0.3355,0.1252
220,-88.3750,13.3750,-0.3303,0.1398
221,-88.1250,13.3750,-0.3267,0.1398
222,-87.8750,13.3750,-0.3330,0.1118
224,-87.3750,13.3750,-0.3292,0.0995
225,-87.1250,13.3750,-0.3240,0.0884
226,-86.8750,13.3750,-0.3053,0.1118
227,-86.6250,13.3750,-0.3055,0.1252
228,-86.3750,13.3750,-0.3269,0.0884
229,-86.1250,13.3750,-0.3535,0.0884
230,-85.8750,13.3750,-0.3846,0.0884
231,-85.6250,13.3750,-0.4037,0.0884
241,-89.8750,13.6250,-0.2569,0.2330
242,-89.6250,13.6250,-0.2761,0.2330
243,-89.3750,13.6250,-0.2955,0.1728
244,-89.1250,13.6250,-0.3100,0.1556
245,-88.8750,13.6250,-0.3218,0.1398
246,-88.6250,13.6250,-0.3278,0.1252
247,-88.3750,13.6250,-0.3243,0.1118
248,-88.1250,13.6250,-0.3186,0.1118
249,-87.8750,13.6250,-0.3194,0.0884
250,-87.6250,13.6250,-0.3044,0.0783
251,-87.3750,13.6250,-0.2829,0.0783
252,-87.1250,13.6250,-0.2761,0.0783
253,-86.8750,13.6250,-0.2757,0.1118
254,-86.6250,13.6250,-0.2888,0.1118
255,-86.3750,13.6250,-0.3156,0.0995
256,-86.1250,13.6250,-0.3409,0.0995
257,-85.8750,13.6250,-0.3646,0.0884
258,-85.6250,13.6250,-0.3821,0.0995
271,-90.3750,13.8750,-0.2627,0.3066
272,-90.1250,13.8750,-0.2861,0.2330
273,-89.8750,13.8750,-0.2843,0.2115
274,-89.6250,13.8750,-0.3015,0.1728
275,-89.3750,13.8750,-0.3111,0.1728
276,-89.1250,13.8750,-0.3194,0.1556
277,-88.8750,13.8750,-0.3296,0.1252
278,-88.6250,13.8750,-0.3361,0.0995
279,-88.3750,13.8750,-0.3359,0.0995
280,-88.1250,13.8750,-0.3300,0.0884
281,-87.8750,13.8750,-0.3263,0.0691
282,-87.6250,13.8750,-0.3055,0.0884
283,-87.3750,13.8750,-0.2752,0.1118
284,-87.1250,13.8750,-0.2646,0.0995
285,-86.8750,13.8750,-0.2664,0.0995
286,-86.6250,13.8750,-0.2797,0.1118
287,-86.3750,13.8750,-0.3029,0.1398
288,-86.1250,13.8750,-0.3226,0.1252
289,-85.8750,13.8750,-0.3408,0.1252
290,-85.6250,13.8750,-0.3565,0.1398
291,-85.3750,13.8750,-0.3727,0.1556
292,-85.1250,13.8750,-0.3890,0.1914
301,-91.6250,14.1250,-0.0827,0.6909
302,-91.3750,14.1250,-0.1144,0.5701
303,-91.1250,14.1250,-0.1650,0.5701
304,-90.8750,14.1250,-0.2400,0.5321
305,-90.6250,14.1250,-0.2792,0.3066
306,-90.3750,14.1250,-0.2925,0.2560
307,-90.1250,14.1250,-0.3072,0.2330
308,-89.8750,14.1250,-0.3297,0.1728
309,-89.6250,14.1250,-0.3429,0.1252
310,-89.3750,14.1250,-0.3479,0.1398
311,-89.1250,14.1250,-0.3501,0.1118
312,-88.8750,14.1250,-0.3581,0.0691
313,-88.6250,14.1250,-0.3653,0.0609
314,-88.3750,14.1250,-0.3723,0.0609
315,-88.1250,14.1250,-0.3685,0.0535
316,-87.8750,14.1250,-0.3474,0.0609
318,-87.3750,14.1250,-0.2952,0.0884
319,-87.1250,14.1250,-0.2803,0.1118
320,-86.8750,14.1250,-0.2745,0.1118
321,-86.6250,14.1250,-0.2788,0.1252
322,-86.3750,14.1250,-0.2943,0.1556
323,-86.1250,14.1250,-0.3070,0.1556
324,-85.8750,14.1250,-0.3086,0.1398
325,-85.6250,14.1250,-0.3213,0.1556
326,-85.3750,14.1250,-0.3385,0.1914
327,-85.1250,14.1250,-0.3574,0.2115
328,-84.8750,14.1250,-0.3788,0.2560
337,-91.8750,14.3750,-0.1031,0.8203
338,-91.6250,14.3750,-0.1335,0.6496
339,-91.3750,14.3750,-0.1628,0.5321
340,-91.1250,14.3750,-0.2030,0.4603
341,-90.8750,14.3750,-0.2700,0.3635
342,-90.6250,14.3750,-0.3085,0.2560
343,-90.3750,14.3750,-0.3276,0.2115
344,-90.1250,14.3750,-0.3496,0.1398
345,-89.8750,14.3750,-0.3792,0.1118
346,-89.6250,14.3750,-0.3932,0.1118
347,-89.3750,14.3750,-0.3913,0.0884
348,-89.1250,14.3750,-0.3828,0.0783
349,-88.8750,14.3750,-0.3735,0.0691
350,-88.6250,14.3750,-0.3811,0.0609
351,-88.3750,14.3750,-0.4045,0.0609
352,-88.1250,14.3750,-0.4106,0.0468
353,-87.8750,14.3750,-0.3928,0.0468
355,-87.3750,14.3750,-0.3303,0.0783
356,-87.1250,14.3750,-0.3061,0.0995
357,-86.8750,14.3750,-0.2909,0.1252
364,-85.1250,14.3750,-0.3331,0.2115
374,-92.1250,14.6250,-0.1085,0.6909
375,-91.8750,14.6250,-0.1704,0.6092
376,-91.6250,14.6250,-0.2207,0.4603
377,-91.3750,14.6250,-0.2331,0.3635
378,-91.1250,14.6250,-0.2412,0.2560
379,-90.8750,14.6250,-0.2638,0.2330
380,-90.6250,14.6250,-0.2883,0.1728
381,-90.3750,14.6250,-0.3280,0.1252
382,-90.1250,14.6250,-0.3758,0.0884
383,-89.8750,14.6250,-0.4309,0.0691
384,-89.6250,14.6250,-0.4556,0.0691
385,-89.3750,14.6250,-0.4464,0.0609
386,-89.1250,14.6250,-0.4226,0.0535
387,-88.8750,14.6250,-0.3862,0.0535
388,-88.6250,14.6250,-0.3954,0.0535
389,-88.3750,14.6250,-0.4470,0.0468
390,-88.1250,14.6250,-0.4729,0.0468
394,-87.1250,14.6250,-0.3397,0.0884
395,-86.8750,14.6250,-0.3166,0.1252
413,-92.1250,14.8750,-0.1330,0.4955
414,-91.8750,14.8750,-0.2128,0.3942
415,-91.6250,14.8750,-0.2712,0.3343
416,-91.3750,14.8750,-0.2830,0.2805
